typ,ra,dec,mag,names
Gxy,0.8116665000000001,16.1453,11.0,NGC7814/C43
Gxy,0.9537494999999999,7.4775,13.0,NGC7816
Gxy,0.9933329999999999,20.7497,12.0,NGC7817
Gxy,1.1908334999999999,-62.0617,12.8,NGC7823
Gxy,1.8162449999999999,27.7089,12.7,NGC1
Gxy,1.831245,32.6094,13.0,NGC7831
Gxy,2.14416,-33.8556,12.5,NGC10
Gxy,2.19291,15.8156,12.5,NGC14
Gxy,2.26917,27.7306,11.8,NGC16
Gxy,2.4724950000000003,25.9236,11.9,NGC23
Gxy,2.484585,-24.9636,11.5,NGC24
Gxy,2.6079149999999998,25.8308,12.9,NGC26
Gxy,2.69541,33.3528,12.9,NGC21
Gxy,2.69541,33.3528,12.9,NGC29
PN,3.253755,72.5222,12.3,NGC40/C2
Gxy,3.253755,30.9158,12.7,NGC43
Gxy,3.5162549999999997,-23.1811,10.8,NGC45
Gxy,3.68583,-7.34556,12.3,NGC50
Gxy,3.7849949999999994,-39.2206,8.3,NGC55/C72
Gxy,3.8779199999999996,17.3272,12.2,NGC57
Gxy,3.8545799999999995,-21.4439,12.2,NGC59
Gxy,4.43958,11.4494,11.8,NGC63
Gxy,4.577085,30.0714,13.0,NGC68
Gxy,4.907085,29.9336,13.0,NGC76
Gxy,5.0962499999999995,59.2931,11.78,IC10
Gxy,5.29542,22.3572,12.5,NGC80
Gxy,5.34375,22.4336,13.0,NGC83
Gxy,5.383335000000001,-48.6261,13.0,NGC92
Gxy,5.558745,10.4911,12.6,NGC95
Gxy,5.625,29.7453,12.4,NGC97
Gxy,5.97708,-32.5364,12.8,NGC101
GC,6.021255,-72.0808,4.0,47 Tuc/NGC104/C106
OC,6.3225,61.3219,9.8,NGC103
Gxy,6.49875,29.2119,12.2,NGC108
GC,6.696255,-71.5367,10.6,NGC121
Gxy,7.209585,2.83861,12.9,NGC125
Gxy,7.31292,2.86417,11.8,NGC128
OC,7.475415,60.2097,6.5,NGC129
Gxy,7.544159999999999,2.09306,12.9,NGC132
Gxy,7.58916,-33.2472,10.5,NGC134
Gxy,7.739159999999999,10.2072,12.9,NGC137
OC,7.820415,63.3528,9.4,NGC133
Gxy,7.939995000000001,-5.1525,12.7,NGC145
OC,8.23125,-73.1164,12.0,NGC152
OC,8.266245,63.3092,9.1,NGC146
Gxy,8.299995,48.5086,9.6,NGC147/C17
Gxy,8.511254999999998,-9.705,11.6,NGC151
Gxy,8.511254999999998,-9.705,11.6,NGC153
Gxy,8.563755,-31.7856,12.1,NGC148
Gxy,8.567084999999999,-27.8044,11.4,NGC150
Gxy,8.694585,-8.39667,10.4,NGC157
OC,8.994165,-73.1658,12.7,NGC176
Gxy,8.94435,-25.3741,12.87,IC1558
Gxy,8.998755000000001,-10.1219,12.7,NGC163
Gxy,9.017085,23.9581,12.4,NGC160
Gxy,9.216255,23.9897,12.4,NGC169
Gxy,9.244995,-29.4783,13.0,NGC174
Gxy,9.340005,-19.9347,12.2,NGC171
Gxy,9.340005,-19.9347,12.0,NGC175
Gxy,9.55167,2.72833,12.7,NGC182
Gxy,9.623745,29.5097,12.5,NGC183
Gxy,9.742080000000001,48.3408,9.3,NGC185/C18
Gxy,9.784995,-14.1725,12.4,NGC178
Gxy,9.765,-18.6078,13.0,NGC209
Gxy,9.80667,0.863889,13.0,NGC192
Gxy,9.827085,3.33111,13.0,NGC193
Gxy,9.826245,3.03722,12.6,NGC194
OC,9.898755,61.0944,8.8,NGC189
Gxy,10.091249999999999,41.6906,8.2,M110/NGC205
OC,10.127505,-73.4031,12.4,NGC220
Gxy,10.144995,-13.8725,11.1,NGC210
OC,10.185419999999999,-73.3842,12.2,NGC222
OC,10.276665000000001,-73.3522,12.7,NGC231
Gxy,10.36167,-21.0453,12.6,NGC216
Gxy,10.367505,25.5,12.4,NGC214
Gxy,10.39083,-10.0222,12.6,NGC217
Gxy,10.652505,-1.52861,12.1,NGC227
Gxy,10.674165,40.8644,8.3,M32/NGC221
Gxy,10.68459,41.2683,3.6,M31/NGC224
OC,10.884585000000001,61.7903,7.0,NGC225
Gxy,10.90209,30.5875,12.5,NGC233
Gxy,10.885005,14.3431,12.7,NGC234
Gxy,10.857915,-50.1847,12.7,NGC238
Gxy,10.865415,-0.125556,12.8,NGC237
OC,10.89084,-73.4464,12.0,NGC242
OC,11.873745000000001,85.2414,8.1,NGC188/C1
Gxy,11.442495,-15.5972,12.9,NGC244
OC+Neb,11.472495,-73.5078,12.7,NGC256
Gxy,11.522505,-1.72444,12.4,NGC245
PN,11.76333,-11.8722,10.9,NGC246/C56
Gxy,11.785005,-20.76,9.2,NGC247/C62
Gxy,11.865419999999999,-31.4211,12.0,NGC254
Gxy,11.88792,-25.2881,7.8,Sculptor galaxy/NGC253/C65
OC,11.79708,-73.4786,12.2,NGC265
Gxy,11.94708,-11.4686,11.7,NGC255
Gxy,12.006255000000001,27.6239,12.5,NGC252
Gxy,12.006255000000001,8.29667,12.9,NGC257
Gxy,12.013755,-2.77639,12.8,NGC259
Gxy,12.45042,32.2786,11.6,NGC266
Gxy,12.53916,-5.19389,12.6,NGC268
Gxy,12.634995,-8.65222,12.9,NGC270
Gxy,12.67416,-1.91083,12.2,NGC271
Gxy,12.702089999999998,-6.88611,12.9,NGC273
Gxy,12.7575,-7.05722,11.9,NGC274
Gxy,12.76791,-7.06556,12.7,NGC275
OC,12.811665,-73.1625,12.0,NGC290
OC,12.854579999999999,35.8217,8.5,NGC272
Gxy,13.018755,47.5506,10.9,NGC278
OC,13.274159999999998,-73.3811,12.7,NGC294
Gxy,13.037085,-2.21833,12.8,NGC279
Gxy,13.17375,-31.2078,11.0,NGC289
OC+Neb,13.247085,56.6219,7.0,NGC281
GC,13.197495,-26.59,8.1,NGC288
Gxy,13.15833,-72.8003,2.2,Small Magellanic Cloud/NGC292
OC+Neb,13.35333,-72.1964,11.0,NGC299
Gxy,13.722495,-37.6833,8.3,NGC300/C70
OC+Neb,13.561665,-72.2411,12.0,NGC306
Gxy,13.771665,31.5308,12.8,NGC295
GC,14.082495,-72.4622,9.6,NGC330
Gxy,14.06958,-52.7831,12.5,NGC312
Gxy,14.135835,-1.77194,13.0,NGC307
Gxy,14.177085,-9.91389,11.6,NGC309
Gxy,14.17209,-52.9764,12.6,NGC323
Gxy,14.386245,30.2797,13.0,NGC311
GC,14.439165,-74.4725,11.9,NGC339
***,14.440005000000001,30.3661,12.0,NGC313
Gxy,14.453339999999999,30.3525,11.3,NGC315
*,14.46834,30.3544,12.0,NGC316
OC+Neb,14.77125,-72.1772,10.3,NGC346
Gxy,14.95833,-7.57778,11.6,NGC337
Gxy,15.190350000000002,-9.18556,13.0,NGC341
Gxy,15.53835,-4.24583,12.7,NGC352
OC,15.54705,-71.6069,11.8,NGC361
Gxy,15.712950000000001,-65.61,12.8,NGC360
GC,15.8091,-70.8483,6.8,NGC362/C104
Gxy,15.84045,-6.33944,11.9,NGC357
OC,15.973349999999998,-72.8253,10.9,NGC376
Gxy,16.199099999999998,2.11773,10.0,IC1613/C51
Gxy,16.815,32.5203,13.0,NGC379
Gxy,16.82295,32.4831,12.7,NGC380
Gxy,16.8537,32.4125,12.5,NGC383
Gxy,16.8504,-69.88,12.3,NGC406
GC,16.99335,-72.3569,12.6,NGC416
OC,17.06205,61.5833,9.3,NGC381
GC,17.07285,-72.8836,11.2,NGC419
Gxy,17.09715,33.1333,12.9,NGC392
Gxy,17.15295,39.6431,12.2,NGC393
Gxy,17.3088,32.7522,12.7,NGC403
Gxy,17.36205,35.7178,10.2,NGC404
Gxy,17.48175,-45.9312,12.56,IC1633
Gxy,17.65035,-30.2208,12.7,NGC418
Gxy,17.74545,33.1517,11.6,NGC410
Gxy,17.8662,-38.0831,13.0,NGC424
Gxy,17.9421,-61.5264,13.0,NGC432
Gxy,18.040049999999997,32.1233,12.2,NGC420
Gxy,18.056250000000002,-58.2467,12.3,NGC434
Gxy,18.231299999999997,0.981944,11.2,NGC428
Gxy,18.2604,38.7686,12.7,NGC425
Gxy,18.2496,-0.252778,12.5,NGC430
Gxy,18.38955,-37.9019,13.0,NGC438
Gxy,18.4467,-31.7475,11.6,NGC439
Gxy,18.46545,-31.7872,12.9,NGC441
Gxy,18.5196,33.7036,13.0,NGC431
Gxy,18.5913,5.92583,13.0,NGC437
Gxy,18.596249999999998,-55.3975,12.7,NGC454
OC+Neb,18.6567,-73.2883,12.5,NGC460
Gxy,19.0146,4.29389,12.8,NGC446
Gxy,18.8187,-1.62667,12.2,NGC448
Gxy,18.8766,-0.861111,11.7,NGC450
OC,18.9279,-73.3242,11.5,NGC465
OC,18.99045,58.8172,8.8,NGC436
Gxy,18.9066,33.0678,12.7,NGC447
Gxy,18.98835,5.17778,12.6,NGC455
Gxy,19.305449999999997,-58.9103,12.8,NGC466
OC,19.8858,58.2908,6.4,NGC457/C13
Gxy,19.79205,3.30056,12.1,NGC467
Gxy,19.89495,-58.5244,12.2,NGC484
Gxy,19.9371,3.40972,11.6,NGC470
Gxy,19.9779,16.545,12.2,NGC473
Gxy,20.027549999999998,3.41528,10.4,NGC474
Gxy,20.3337,-34.0633,12.6,NGC491
Gxy,20.445,5.25694,10.6,NGC488
Gxy,20.4741,9.20583,12.6,NGC489
Gxy,20.53785,0.945556,12.3,NGC493
Gxy,20.73165,9.04889,12.7,NGC502
Gxy,20.730900000000002,33.1742,13.0,NGC494
Gxy,20.74995,33.1833,13.0,IC1685
Gxy,20.79795,33.4603,12.0,NGC499
Gxy,20.9166,33.2561,11.7,NGC507
Gxy,21.1116,33.7994,12.9,NGC513
Gxy,21.0162,12.9167,11.7,NGC514
Gxy,21.14295,3.795,11.6,NGC520
Gxy,21.14085,1.73111,11.8,NGC521
Gxy,21.182850000000002,33.43,12.5,NGC517
Gxy,21.1992,9.53917,10.5,NGC524
Gxy,21.336599999999997,34.0253,13.0,NGC523
Gxy,21.321299999999997,9.265,12.7,NGC532
Gxy,21.39,33.6714,12.6,NGC528
Gxy,21.38085,1.75889,11.4,NGC533
Gxy,21.4179,34.7131,11.9,NGC529
Gxy,21.435000000000002,-1.38028,12.6,NGC541
Gxy,21.496199999999998,-1.34,12.3,NGC545
Gxy,21.5025,-1.345,12.3,NGC547
Gxy,21.336599999999997,34.0253,13.0,NGC537
Gxy,21.5904,34.7036,12.4,NGC536
Gxy,21.67785,2.02222,12.9,NGC550
Gxy,21.855900000000002,-1.91417,12.9,NGC560
Gxy,21.91875,37.1828,12.9,NGC551
Gxy,21.95085,-1.88,12.6,NGC564
Gxy,21.98715,-35.7181,12.5,NGC568
OC,22.371299999999998,63.3083,9.5,NGC559/C8
Gxy,22.61955,-22.6667,11.1,NGC578
Gxy,22.669649999999997,-1.99556,13.0,NGC580
Gxy,22.6938,21.4389,13.0,NGC575
Gxy,22.70535,41.2569,12.8,NGC573
Gxy,22.8366,-6.86833,10.3,NGC584
Gxy,23.1387,35.3589,13.0,NGC587
Gxy,23.174999999999997,35.3333,13.0,IC1713
Gxy,23.21625,-7.0325,10.8,NGC596
Gxy,23.27205,-7.31278,12.4,NGC600
OC,23.3409,60.6581,7.4,M103/NGC581
Gxy,23.46165,30.6603,5.8,Triangulum galaxy/M33/NGC598
